Subject,Doctor Name,WhatsApp Number,Instagram Handle,Last IG Post Date,Google Rating,Review Count,Pain Signal Quote,Website URL,Has WhatsApp Widget,Ghost Lead Result
Dr Pauls Dental Clinic LLC, Dubai, 04 3944444,Dr. Binoy Paul,,@drpaulsdentalclinicdxb,2025-11-24,4.8,394,Not found,https://www.drpaulsdentalclinic.com/,Yes,"Emergency number (+971 56 1219 894) is a mobile number, likely a direct line or WhatsApp enabled."
Hollywood Smile Dental Clinic, Dubai, 04 3575785,"Dr. Scherene, Dr. Abdul R., Dr. Azzam, Dr. Abdullah, Dr. Imad, Dr. Faridha Syed Wahab, Dr. Mujahid, Dr. Yazan Hussein, Dr. Khader",+971505192516,Not found,Not found,4.4,1153,Not found,https://hollywoodsmiledc.com/,Yes,"Mobile number, likely direct line or WhatsApp enabled."
Ibn Seina Medical Centre, Dubai, 04 2222222,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
Jumeira Beach Dental Centre, Dubai, 04 3444444,Dr. Imad Jafar,Not found,@jbdc.uae,Not found,4.9,65,Not found,https://jbdcdubai.com/,No,"Landline, no direct mobile or WhatsApp found."
Khyber Medical Centre, Dubai, 058 5111111,"Dr. Rukaiya Shikalgar, Dr. Safwana Zainudheen",,Not found,Not found,4.9,340,Not found,https://khybermedicalcenter.com/,Yes,"Landline (+971 4 prefix), assumed direct line."
La Perla Dental Clinic DMCC, Dubai, 04 4355678,Dr. Jamal Zoubi,+971564662598,@laperladental_clinic,2026-03-08,4.8,337,Not found,https://laperladental.com/,Yes,"The phone number +97144321732 is a landline, and the mobile number +971564662598 is a direct line."
Leila Hariri Dental & Medical Aesthetics, Dubai, 04 3444444,Dr. Leila Hariri,+971501595432,@lhdm_ae,2025-04-06,5.0,424,Not found,https://lhdm.ae/,Yes,"The +971 50 159 5432 number is a mobile number, likely a direct line or WhatsApp. The +971 4 349 5432 number is a landline."
Luxe Dental Clinic, Dubai, 04 3575785,Dr. Akram Mirgani,+971543580995,Not found,Not found,4.6,52,"One of the most rudest clinics I went to, the receptionist was not even bothered about the patient and doctors are not available, when asked about the doctors and timings she started speaking loudly in very rude manner and told doctors only come in the evening and no appointments for now.",Not found,No,"The phone number +971543580995 is a mobile number, likely a direct line."
McBody Clinic LLC, Dubai, 04 3888888,Dr. Shaghayegh Kazemian,,@mcbodyclinic,Not found,4.6,150,Not found,https://newsenseclinic.com,Yes,Not found
Modern Dental Clinic, Dubai, 04 3635367,Dr. Darach Judge,,@trulydentaldubai,2026-03-02,4.9,137,Not found,https://www.trulydental.ae/,No,"Landline number, no direct answer simulated."
Mohamed Iqbal Homeopathiq Medical Center, Dubai, 04 3977555,Dr. Mohamed Iqbal Kombatheyil,+971552266150,@dr.iqbalmedical,Not found,4.6,24,Not found,https://www.driqbalalternative.com/,No,"Mobile number (+971 55 226 6150) available, implying direct contact. Landline (+971 4 273 9797) also available."
Pearl Medical Clinic, Dubai, 04 2222222,Dr. Aby Thomas,,@pearlmedicalclinic,2025-09-23,4.8,65,Not found,https://www.pearlclinicdubai.com/,No,The clinic has a landline number (+971 4 224 9481) and a mobile number (+971 50 650 9684) listed on their website and Google Maps. The mobile number is a potential WhatsApp number.
Pretty Smile Dental Clinic, Dubai, 04 8888888,Dr. Adnan Ahmad,+971559910094,@dr.adnandubaidentist,Not found,4.7,41,Not found,https://www.prettysmiledubai.ae/,No,Primary contact number on website is a landline.
Reveal Medical Center, Dubai, 04 3855555,Dr. Alaa Abou Laban,,@revealmedicalcenter,2026-03-19,4.9,173,"No reviews mention ""phone OR calls OR booking OR receptionist OR not answering OR WhatsApp""",https://reveal.ae/,Yes,Not performed by agent
Samaa Medical Centre, Dubai, 04 3944444,Not found,+971562291810,@samaamedicalcenter,Not found,4.5,328,Not found,https://samaamedicalcenter.ae/,Yes,"The provided phone number (04 3944444) was not found on the website or Google Maps. The website lists +971 56 229 1810, which is a mobile number."
Sameday Dental Implants, Dubai, 04 3156000,Dr. Costa Nicolopoulos,+97143158300,@samedayimplants,Not found,4.8,285,Not found,https://www.samedayme.com/,Yes,Cannot determine IVR/direct line without direct interaction.
